zip_code,total_population,median_age,total_housing_units,owner_occupied_units,renter_occupied_units,pct_renter_occupied
11235,83069,46.7,34769,13076,21693,62.39
11236,100082,39.8,33986,17127,16859,49.61
11237,47183,32.6,17513,1908,15605,89.11
11238,58047,35.3,26492,7650,18842,71.12
11239,16808,45.7,8367,845,7522,89.90
11249,45087,30.2,17047,3218,13829,81.12
11354,53371,47.7,20980,8015,12965,61.80
11355,79495,46.2,29690,8671,21019,70.79
11356,27632,38.7,8391,4275,4116,49.05
11357,42792,47.3,15508,11685,3823,24.65
11358,37647,43.7,13179,7854,5325,40.41
11359,0,-666666666.0,0,0,0,0.00
11360,19719,51.9,8692,6495,2197,25.28
11361,29544,43.5,10886,6751,4135,37.98
11362,18426,50.3,7164,5398,1766,24.65
11363,7365,46.3,2855,2031,824,28.86
11364,38124,44.8,13822,9690,4132,29.89
11365,46424,42.4,16361,7838,8523,52.09
11366,13659,43.4,4640,3174,1466,31.59
11367,43286,36.3,14647,6927,7720,52.71
11368,112750,34.6,30123,6617,23506,78.03
11369,32177,40.0,9736,5477,4259,43.74
11370,28164,39.0,8140,4012,4128,50.71
11371,0,-666666666.0,0,0,0,0.00
11372,67001,41.3,25359,8982,16377,64.58
11373,102618,37.6,32644,9001,23643,72.43
11374,47230,41.4,19800,7960,11840,59.80
11375,75212,44.7,33312,17601,15711,47.16
11377,86977,39.5,33239,10186,23053,69.36
11378,39250,39.8,12818,6660,6158,48.04
11379,38261,44.9,13810,8022,5788,41.91
11385,105521,36.0,37167,11181,25986,69.92
11411,21329,46.5,6602,5674,928,14.06
11412,40593,40.5,11753,8768,2985,25.40
11413,44832,40.3,13512,9886,3626,26.84
11414,30374,45.9,11401,8799,2602,22.82
11415,20315,41.6,8588,3613,4975,57.93
11416,27794,36.8,7485,3691,3794,50.69
11417,31200,36.6,9377,5321,4056,43.25
11418,38317,39.3,11681,5739,5942,50.87
11419,48096,41.4,12908,8089,4819,37.33
11420,51153,40.9,13836,9940,3896,28.16
11421,41552,39.3,11840,6164,5676,47.94
11422,32296,42.0,10019,6916,3103,30.97
11423,29921,43.9,9946,5768,4178,42.01
11424,0,-666666666.0,0,0,0,0.00
11426,19733,45.6,6108,4326,1782,29.17
11427,25187,44.3,8046,5087,2959,36.78
11428,19554,45.9,6153,4565,1588,25.81
11429,27845,41.8,8038,5820,2218,27.59
11430,332,29.5,0,0,0,0.00
11432,64268,38.9,20036,8050,11986,59.82
11433,38865,34.5,10886,5100,5786,53.15
11434,68182,40.0,22986,11074,11912,51.82
11435,59961,36.1,19350,6813,12537,64.79
11691,70365,33.7,21687,6096,15591,71.89
11692,24584,37.1,8128,2919,5209,64.09
11693,13558,44.2,5274,2377,2897,54.93
11694,21788,44.0,7994,4201,3793,47.45
11697,3946,50.1,1533,1485,48,3.13
